WMO Region;Country;Station;Latitude;Longitude;Elevation;WMO Index
Europe;Russian Federation;KOTEL'NIC;58.3;48.35;125;0-20000-0-27283
Europe;Russian Federation;ROSTOV-NA-DONU (34730-0);47.2666666667;39.8166666667;74;0-20000-0-34730
Europe;France;BOULOGNE;50.7325;1.5997222222;73;0-20000-0-07002
Europe;Spain;MORON DE LA FRONTERA;37.1644444444;-5.6113888889;87;0-20000-0-08397
Europe;Czech Republic;TEMELIN;49.1977777778;14.3422222222;500;0-20000-0-11538
Europe;Armenia;URTSADZOR;39.9213888889;44.8283333333;null;0-20000-0-37872
Europe;Sweden;HASTVEDA;56.2744444444;13.9377777778;102.5;0-20000-0-02629
Europe;Iceland;KVIGINDISDALUR;65.5562;-24.011173;49;0-20000-0-04003
Europe;Denmark;KIRKJA;62.3194444444;-6.3205555556;54;0-20000-0-06012
Europe;Germany;WUNSIEDEL-SCHOENBRUNN;50.0316666667;11.9744444444;622.3;0-20000-0-10686
